name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
Oak Park Lane,41,8933426,43,42,1,111.32,,,,residential,6,"LINESTRING (-121.9405350 37.2751701, -121.9405456 37.2760846, -121.9405342 37.2761730)",auto,1,0,,
Oak Park Lane,42,8933426,43,44,1,57.16,,,,residential,6,"LINESTRING (-121.9405350 37.2751701, -121.9405263 37.2748014, -121.9405634 37.2746580)",auto,1,0,,
Oak Park Lane,43,8933426,44,43,1,57.16,,,,residential,6,"LINESTRING (-121.9405634 37.2746580, -121.9405263 37.2748014, -121.9405350 37.2751701)",auto,1,0,,
East Rincon Avenue,44,8933977,45,46,1,44.52,,,,residential,6,"LINESTRING (-121.9498290 37.2848863, -121.9496710 37.2848799, -121.9494644 37.2848794, -121.9493270 37.2848791)",auto,1,0,,
East Rincon Avenue,45,8933977,46,45,1,44.52,,,,residential,6,"LINESTRING (-121.9493270 37.2848791, -121.9494644 37.2848794, -121.9496710 37.2848799, -121.9498290 37.2848863)",auto,1,0,,
East Rincon Avenue,46,8933977,46,47,1,75.77,,,,residential,6,"LINESTRING (-121.9493270 37.2848791, -121.9492182 37.2848785, -121.9488812 37.2848765, -121.9484722 37.2848782)",auto,1,0,,
East Rincon Avenue,47,8933977,47,46,1,75.77,,,,residential,6,"LINESTRING (-121.9484722 37.2848782, -121.9488812 37.2848765, -121.9492182 37.2848785, -121.9493270 37.2848791)",auto,1,0,,
East Rincon Avenue,48,8933977,47,48,1,106.66,,,,residential,6,"LINESTRING (-121.9484722 37.2848782, -121.9477655 37.2848770, -121.9472690 37.2848792)",auto,1,0,,
East Rincon Avenue,49,8933977,48,47,1,106.66,,,,residential,6,"LINESTRING (-121.9472690 37.2848792, -121.9477655 37.2848770, -121.9484722 37.2848782)",auto,1,0,,
East Rincon Avenue,50,8933977,48,20,1,107.36,,,,residential,6,"LINESTRING (-121.9472690 37.2848792, -121.9460578 37.2848813)",auto,1,0,,
East Rincon Avenue,51,8933977,20,48,1,107.36,,,,residential,6,"LINESTRING (-121.9460578 37.2848813, -121.9472690 37.2848792)",auto,1,0,,
East Rincon Avenue,52,8933977,20,49,1,72.03,,,,residential,6,"LINESTRING (-121.9460578 37.2848813, -121.9454804 37.2848784, -121.9453568 37.2848785, -121.9452452 37.2848785)",auto,1,0,,
East Rincon Avenue,53,8933977,49,20,1,72.03,,,,residential,6,"LINESTRING (-121.9452452 37.2848785, -121.9453568 37.2848785, -121.9454804 37.2848784, -121.9460578 37.2848813)",auto,1,0,,
Manx Avenue,54,8934801,50,51,1,4.84,,,,residential,6,"LINESTRING (-121.9533661 37.2765849, -121.9533650 37.2765413)",auto,1,0,,
Manx Avenue,55,8934801,51,50,1,4.84,,,,residential,6,"LINESTRING (-121.9533650 37.2765413, -121.9533661 37.2765849)",auto,1,0,,
El Caminito Avenue,56,8935194,52,53,1,394.26,,,,residential,6,"LINESTRING (-121.9497987 37.2817077, -121.9499380 37.2817072, -121.9499480 37.2817072, -121.9501610 37.2817064, -121.9503699 37.2817056, -121.9541678 37.2816847, -121.9541769 37.2816846, -121.9542461 37.2816843)",auto,1,0,,
El Caminito Avenue,57,8935194,53,52,1,394.26,,,,residential,6,"LINESTRING (-121.9542461 37.2816843, -121.9541769 37.2816846, -121.9541678 37.2816847, -121.9503699 37.2817056, -121.9501610 37.2817064, -121.9499480 37.2817072, -121.9499380 37.2817072, -121.9497987 37.2817077)",auto,1,0,,
Adler Avenue,58,8936699,54,16,1,93.99,,,,residential,6,"LINESTRING (-121.9516405 37.2789841, -121.9527007 37.2789809)",auto,1,0,,
Adler Avenue,59,8936699,16,54,1,93.99,,,,residential,6,"LINESTRING (-121.9527007 37.2789809, -121.9516405 37.2789841)",auto,1,0,,
