name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
San Leandro Avenue,35,8933621,49,48,1,291.75,,40,,residential,6,"LINESTRING (-122.0715885 37.4084634, -122.0715661 37.4084626, -122.0715041 37.4084603, -122.0714091 37.4084482, -122.0713256 37.4084307, -122.0712502 37.4084070, -122.0711625 37.4083661, -122.0710836 37.4083141, -122.0710064 37.4082487, -122.0709023 37.4081536, -122.0708065 37.4080582, -122.0706945 37.4079289, -122.0706357 37.4078575, -122.0705607 37.4077532, -122.0704990 37.4076610, -122.0704514 37.4075811, -122.0704156 37.4075068, -122.0703824 37.4074304, -122.0703660 37.4073822, -122.0703583 37.4073598, -122.0703455 37.4072907, -122.0703458 37.4068976, -122.0703461 37.4063997, -122.0703607 37.4063480, -122.0703873 37.4063051)",auto,1,0,,
Dailey Road,36,8933866,50,51,1,189.51,,,,residential,6,"LINESTRING (-122.0565153 37.4058474, -122.0565019 37.4060519, -122.0564912 37.4062074, -122.0565046 37.4063544, -122.0565314 37.4064781, -122.0565797 37.4066506, -122.0565878 37.4068136, -122.0565877 37.4069510, -122.0565549 37.4070818, -122.0564332 37.4074188, -122.0564094 37.4075306)",auto,1,0,,
Dailey Road,37,8933866,51,50,1,189.51,,,,residential,6,"LINESTRING (-122.0564094 37.4075306, -122.0564332 37.4074188, -122.0565549 37.4070818, -122.0565877 37.4069510, -122.0565878 37.4068136, -122.0565797 37.4066506, -122.0565314 37.4064781, -122.0565046 37.4063544, -122.0564912 37.4062074, -122.0565019 37.4060519, -122.0565153 37.4058474)",auto,1,0,,
Dailey Road,38,8933866,51,52,1,185.11,,,,residential,6,"LINESTRING (-122.0564094 37.4075306, -122.0563524 37.4077350, -122.0560653 37.4085689, -122.0560283 37.4086445, -122.0559414 37.4088963, -122.0559252 37.4090124, -122.0559275 37.4090697, -122.0559266 37.4091476)",auto,1,0,,
Dailey Road,39,8933866,52,51,1,185.11,,,,residential,6,"LINESTRING (-122.0559266 37.4091476, -122.0559275 37.4090697, -122.0559252 37.4090124, -122.0559414 37.4088963, -122.0560283 37.4086445, -122.0560653 37.4085689, -122.0563524 37.4077350, -122.0564094 37.4075306)",auto,1,0,,
Dailey Road,40,8933866,52,53,1,117.16,,,,residential,6,"LINESTRING (-122.0559266 37.4091476, -122.0559601 37.4092574, -122.0559718 37.4092774, -122.0560966 37.4095102, -122.0563855 37.4100449, -122.0563976 37.4100667, -122.0564281 37.4101234)",auto,1,0,,
Dailey Road,41,8933866,53,52,1,117.16,,,,residential,6,"LINESTRING (-122.0564281 37.4101234, -122.0563976 37.4100667, -122.0563855 37.4100449, -122.0560966 37.4095102, -122.0559718 37.4092774, -122.0559601 37.4092574, -122.0559266 37.4091476)",auto,1,0,,
Orchard Avenue,42,8934806,54,55,1,106.83,,,,residential,6,"LINESTRING (-122.0705098 37.3953098, -122.0705321 37.3952690, -122.0705442 37.3952508, -122.0709378 37.3946313, -122.0710524 37.3944497)",auto,1,0,,
Orchard Avenue,43,8934806,55,54,1,106.83,,,,residential,6,"LINESTRING (-122.0710524 37.3944497, -122.0709378 37.3946313, -122.0705442 37.3952508, -122.0705321 37.3952690, -122.0705098 37.3953098)",auto,1,0,,
Leong Drive,44,8936339,56,57,1,137.12,,40,,residential,6,"LINESTRING (-122.0687497 37.4035036, -122.0676469 37.4043717)",auto,1,0,,
Leong Drive,45,8936339,57,56,1,137.12,,40,,residential,6,"LINESTRING (-122.0676469 37.4043717, -122.0687497 37.4035036)",auto,1,0,,
Wake Forest Drive,46,8936395,58,59,1,149.62,,40,,residential,6,"LINESTRING (-122.0672942 37.4036179, -122.0672509 37.4035808, -122.0671371 37.4034834, -122.0670186 37.4034272, -122.0668490 37.4033939, -122.0657025 37.4034340)",auto,1,0,,
Wake Forest Drive,47,8936395,59,58,1,149.62,,40,,residential,6,"LINESTRING (-122.0657025 37.4034340, -122.0668490 37.4033939, -122.0670186 37.4034272, -122.0671371 37.4034834, -122.0672509 37.4035808, -122.0672942 37.4036179)",auto,1,0,,
Wake Forest Drive,48,8936395,59,60,1,281.04,,40,,residential,6,"LINESTRING (-122.0657025 37.4034340, -122.0652081 37.4034597, -122.0651283 37.4034932, -122.0650921 37.4035316, -122.0645932 37.4049597, -122.0645946 37.4050417, -122.0646496 37.4050790, -122.0651109 37.4052249)",auto,1,0,,
Wake Forest Drive,49,8936395,60,59,1,281.04,,40,,residential,6,"LINESTRING (-122.0651109 37.4052249, -122.0646496 37.4050790, -122.0645946 37.4050417, -122.0645932 37.4049597, -122.0650921 37.4035316, -122.0651283 37.4034932, -122.0652081 37.4034597, -122.0657025 37.4034340)",auto,1,0,,
Gladys Avenue,50,8936504,61,62,1,60.04,,,,residential,6,"LINESTRING (-122.0678195 37.3956701, -122.0674945 37.3959207, -122.0673413 37.3960536)",auto,1,0,,
Gladys Avenue,51,8936504,62,61,1,60.04,,,,residential,6,"LINESTRING (-122.0673413 37.3960536, -122.0674945 37.3959207, -122.0678195 37.3956701)",auto,1,0,,
Mariner Drive,52,8936986,63,64,1,37.19,,,,residential,6,"LINESTRING (-122.0719758 37.4016838, -122.0719698 37.4016460, -122.0717955 37.4015171, -122.0716832 37.4014577)",auto,0,0,,
Beverly Street,53,8937374,65,66,1,3.45,,,,residential,6,"LINESTRING (-122.0612638 37.3911482, -122.0612692 37.3911174)",auto,1,0,,
Beverly Street,54,8937374,66,65,1,3.45,,,,residential,6,"LINESTRING (-122.0612692 37.3911174, -122.0612638 37.3911482)",auto,1,0,,
Beverly Street,55,8937374,66,67,1,164.77,,,,residential,6,"LINESTRING (-122.0612692 37.3911174, -122.0612788 37.3910949, -122.0614643 37.3905762, -122.0615967 37.3902218, -122.0617734 37.3897369, -122.0617774 37.3897260, -122.0617892 37.3896914)",auto,1,0,,
Beverly Street,56,8937374,67,66,1,164.77,,,,residential,6,"LINESTRING (-122.0617892 37.3896914, -122.0617774 37.3897260, -122.0617734 37.3897369, -122.0615967 37.3902218, -122.0614643 37.3905762, -122.0612788 37.3910949, -122.0612692 37.3911174)",auto,1,0,,
San Rafael Avenue,57,8937571,68,69,1,38.56,,40,,residential,6,"LINESTRING (-122.0730000 37.4059427, -122.0729518 37.4061924, -122.0729375 37.4062866)",auto,1,0,,
San Rafael Avenue,58,8937571,69,68,1,38.56,,40,,residential,6,"LINESTRING (-122.0729375 37.4062866, -122.0729518 37.4061924, -122.0730000 37.4059427)",auto,1,0,,
Edquiba Road,59,8937632,70,47,1,24.54,,,,residential,6,"LINESTRING (-122.0546000 37.4088560, -122.0548317 37.4089054, -122.0548679 37.4089131)",auto,1,0,,
Edquiba Road,60,8937632,47,70,1,24.54,,,,residential,6,"LINESTRING (-122.0548679 37.4089131, -122.0548317 37.4089054, -122.0546000 37.4088560)",auto,1,0,,
Edquiba Road,61,8937632,47,71,1,22.72,,,,residential,6,"LINESTRING (-122.0548679 37.4089131, -122.0551144 37.4089704)",auto,1,0,,
Edquiba Road,62,8937632,71,47,1,22.72,,,,residential,6,"LINESTRING (-122.0551144 37.4089704, -122.0548679 37.4089131)",auto,1,0,,
Edquiba Road,63,8937632,71,52,1,74.55,,,,residential,6,"LINESTRING (-122.0551144 37.4089704, -122.0558343 37.4091341, -122.0559266 37.4091476)",auto,1,0,,
Edquiba Road,64,8937632,52,71,1,74.55,,,,residential,6,"LINESTRING (-122.0559266 37.4091476, -122.0558343 37.4091341, -122.0551144 37.4089704)",auto,1,0,,
Edquiba Road,65,8937632,52,72,1,125.34,,,,residential,6,"LINESTRING (-122.0559266 37.4091476, -122.0560254 37.4091346, -122.0560382 37.4091328, -122.0564885 37.4090669, -122.0573200 37.4089452)",auto,1,0,,
Edquiba Road,66,8937632,72,52,1,125.34,,,,residential,6,"LINESTRING (-122.0573200 37.4089452, -122.0564885 37.4090669, -122.0560382 37.4091328, -122.0560254 37.4091346, -122.0559266 37.4091476)",auto,1,0,,
Leslie Court,67,8937739,73,74,1,74.78,,,,residential,6,"LINESTRING (-122.0628803 37.3972564, -122.0628054 37.3975138, -122.0626582 37.3977320, -122.0626243 37.3977893, -122.0626143 37.3978063, -122.0625609 37.3978739)",auto,1,0,,
Leslie Court,68,8937739,74,73,1,74.78,,,,residential,6,"LINESTRING (-122.0625609 37.3978739, -122.0626143 37.3978063, -122.0626243 37.3977893, -122.0626582 37.3977320, -122.0628054 37.3975138, -122.0628803 37.3972564)",auto,1,0,,
Whisman Station Drive,69,8938555,75,76,1,53.94,1,,,secondary,4,"LINESTRING (-122.0629054 37.3906465, -122.0628658 37.3908499, -122.0628587 37.3911302)",auto,1,0,,
Whisman Station Drive,70,8938555,76,75,1,53.94,1,,,secondary,4,"LINESTRING (-122.0628587 37.3911302, -122.0628658 37.3908499, -122.0629054 37.3906465)",auto,1,0,,
Murlagan Avenue,71,8941443,77,78,1,88.67,,40,,residential,6,"LINESTRING (-122.0631781 37.4031708, -122.0630823 37.4031444, -122.0622244 37.4029261)",auto,1,0,,
Murlagan Avenue,72,8941443,78,77,1,88.67,,40,,residential,6,"LINESTRING (-122.0622244 37.4029261, -122.0630823 37.4031444, -122.0631781 37.4031708)",auto,1,0,,
Murlagan Avenue,73,8941443,78,79,1,102.68,,40,,residential,6,"LINESTRING (-122.0622244 37.4029261, -122.0615466 37.4027675, -122.0611098 37.4026692)",auto,1,0,,
Murlagan Avenue,74,8941443,79,78,1,102.68,,40,,residential,6,"LINESTRING (-122.0611098 37.4026692, -122.0615466 37.4027675, -122.0622244 37.4029261)",auto,1,0,,
Murlagan Avenue,75,8941443,79,80,1,61.1,,40,,residential,6,"LINESTRING (-122.0611098 37.4026692, -122.0604487 37.4025107)",auto,1,0,,
Murlagan Avenue,76,8941443,80,79,1,61.1,,40,,residential,6,"LINESTRING (-122.0604487 37.4025107, -122.0611098 37.4026692)",auto,1,0,,
Murlagan Avenue,77,8941443,80,81,1,233.02,,40,,residential,6,"LINESTRING (-122.0604487 37.4025107, -122.0599019 37.4023824, -122.0597216 37.4023401, -122.0591681 37.4022100, -122.0589532 37.4021608, -122.0580156 37.4019406, -122.0579216 37.4019218)",auto,1,0,,
Murlagan Avenue,78,8941443,81,80,1,233.02,,40,,residential,6,"LINESTRING (-122.0579216 37.4019218, -122.0580156 37.4019406, -122.0589532 37.4021608, -122.0591681 37.4022100, -122.0597216 37.4023401, -122.0599019 37.4023824, -122.0604487 37.4025107)",auto,1,0,,
San Carrizo Way,79,8942449,82,83,1,202.24,,40,,residential,6,"LINESTRING (-122.0707021 37.4055336, -122.0719518 37.4055660, -122.0720339 37.4055719, -122.0720926 37.4055911, -122.0721345 37.4056169, -122.0721523 37.4056468, -122.0721613 37.4056768, -122.0720803 37.4062763)",auto,1,0,,
San Carrizo Way,80,8942449,83,82,1,202.24,,40,,residential,6,"LINESTRING (-122.0720803 37.4062763, -122.0721613 37.4056768, -122.0721523 37.4056468, -122.0721345 37.4056169, -122.0720926 37.4055911, -122.0720339 37.4055719, -122.0719518 37.4055660, -122.0707021 37.4055336)",auto,1,0,,
Flynn Avenue,81,8942467,84,85,1,491.55,,40,,residential,6,"LINESTRING (-122.0644153 37.3997625, -122.0643362 37.3997454, -122.0643181 37.3997416, -122.0638029 37.3996218, -122.0637718 37.3996142, -122.0631563 37.3993822, -122.0629376 37.3993372, -122.0620874 37.3991518, -122.0619640 37.3991113, -122.0618502 37.3990601, -122.0618219 37.3990474, -122.0616529 37.3989643, -122.0615646 37.3989130, -122.0614635 37.3988542, -122.0609609 37.3985381, -122.0609072 37.3985083, -122.0608616 37.3984934, -122.0593849 37.3981382, -122.0593172 37.3981260)",auto,1,0,,
Flynn Avenue,82,8942467,85,84,1,491.55,,40,,residential,6,"LINESTRING (-122.0593172 37.3981260, -122.0593849 37.3981382, -122.0608616 37.3984934, -122.0609072 37.3985083, -122.0609609 37.3985381, -122.0614635 37.3988542, -122.0615646 37.3989130, -122.0616529 37.3989643, -122.0618219 37.3990474, -122.0618502 37.3990601, -122.0619640 37.3991113, -122.0620874 37.3991518, -122.0629376 37.3993372, -122.0631563 37.3993822, -122.0637718 37.3996142, -122.0638029 37.3996218, -122.0643181 37.3997416, -122.0643362 37.3997454, -122.0644153 37.3997625)",auto,1,0,,
Perimeter Road,83,8943936,86,50,1,174.86,,,,residential,6,"LINESTRING (-122.0546000 37.4054610, -122.0550315 37.4055457, -122.0561929 37.4057739, -122.0565153 37.4058474)",auto,1,0,,
Perimeter Road,84,8943936,50,86,1,174.86,,,,residential,6,"LINESTRING (-122.0565153 37.4058474, -122.0561929 37.4057739, -122.0550315 37.4055457, -122.0546000 37.4054610)",auto,1,0,,
Perimeter Road,85,8943936,50,87,1,147.52,,,,residential,6,"LINESTRING (-122.0565153 37.4058474, -122.0581300 37.4061776)",auto,1,0,,
