name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
Park Avenue,703,956250553,222,389,1,36.51,2,,,secondary,4,"LINESTRING (-121.8943539 37.3298075, -121.8939994 37.3299753)",auto,0,0,,
Park Avenue,704,956250554,387,388,1,14.6,4,,,secondary,4,"LINESTRING (-121.8930290 37.3304696, -121.8928916 37.3305422)",auto,0,0,,
Sinclair Freeway,705,959075957,501,0,1,65.41,6,104,,motorway,1,"LINESTRING (-121.8807272 37.3270528, -121.8805107 37.3271217, -121.8802867 37.3271830, -121.8800290 37.3272432)",auto,0,0,,
Sinclair Freeway,706,959075959,495,501,1,4.83,6,104,,motorway,1,"LINESTRING (-121.8807772 37.3270355, -121.8807272 37.3270528)",auto,0,0,,
Sinclair Freeway,707,959075963,494,498,1,117.57,5,104,,motorway,1,"LINESTRING (-121.8853295 37.3254441, -121.8855630 37.3253718, -121.8860398 37.3252391, -121.8865883 37.3251105)",auto,0,0,,
Sinclair Freeway,708,959075964,189,184,1,71.38,5,104,,motorway,1,"LINESTRING (-121.8801272 37.3274745, -121.8805312 37.3273722, -121.8808911 37.3272703)",auto,0,0,,
South Almaden Boulevard,709,962729232,67,199,1,54.41,3,48,,secondary,4,"LINESTRING (-121.8890970 37.3266268, -121.8891599 37.3267078, -121.8894128 37.3270474)",auto,0,0,,
Vine Street,710,963677233,191,242,1,47.78,4,,,secondary,4,"LINESTRING (-121.8859110 37.3220027, -121.8856747 37.3216912, -121.8856326 37.3216338)",auto,0,0,,
Park Avenue,711,963856211,502,453,1,21.09,3,,,secondary,4,"LINESTRING (-121.8958552 37.3290834, -121.8956518 37.3291821)",auto,0,0,,
Sinclair Freeway,712,967219595,483,127,1,75.16,4,104,,motorway,1,"LINESTRING (-121.8949825 37.3234597, -121.8954754 37.3233626, -121.8958062 37.3232976)",auto,0,0,,
Sinclair Freeway,713,967219596,127,124,1,65.9,5,104,,motorway,1,"LINESTRING (-121.8958062 37.3232976, -121.8960713 37.3232358, -121.8963485 37.3231639, -121.8965135 37.3231146)",auto,0,0,,
West San Carlos Street,714,978715392,458,451,1,86.75,2,40,,primary,3,"LINESTRING (-121.8896126 37.3301598, -121.8890993 37.3304032, -121.8889792 37.3304641, -121.8887803 37.3305714)",auto,0,0,,
South 3rd Street,715,986612623,438,439,1,15.32,2,48,,tertiary,5,"LINESTRING (-121.8853209 37.3328949, -121.8854112 37.3330127)",auto,0,0,,
Woz Way,716,993792954,419,323,1,13.13,2,,,tertiary,5,"LINESTRING (-121.8898050 37.3262067, -121.8896781 37.3262678)",auto,0,0,,
Woz Way,717,993792955,399,349,1,11.49,1,,,tertiary,5,"LINESTRING (-121.8930724 37.3267705, -121.8929939 37.3266880)",auto,0,0,,
Woz Way,718,993792955,349,236,1,38.79,1,,,tertiary,5,"LINESTRING (-121.8929939 37.3266880, -121.8929598 37.3266499, -121.8928955 37.3265829, -121.8927266 37.3264111)",auto,0,0,,
Woz Way,719,993792956,237,421,1,35.21,1,,,tertiary,5,"LINESTRING (-121.8923872 37.3260756, -121.8923024 37.3259902, -121.8922168 37.3259236, -121.8921617 37.3258896, -121.8921039 37.3258556)",auto,0,0,,
Guadalupe Freeway,720,1004382847,473,219,1,39.83,4,104,,motorway,1,"LINESTRING (-121.8903181 37.3208492, -121.8903505 37.3209316, -121.8904604 37.3211897)",auto,0,0,,
Sinclair Freeway,721,1024493926,484,256,1,99.52,4,104,,motorway,1,"LINESTRING (-121.8885688 37.3244526, -121.8874741 37.3246539)",auto,0,0,,
West San Carlos Street,722,1031077705,365,52,1,64.41,3,,,primary,3,"LINESTRING (-121.8948951 37.3277655, -121.8943666 37.3280053, -121.8942707 37.3280523, -121.8942650 37.3280551)",auto,0,0,,
