name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
North Alhambra Avenue,48,13369034,41,40,1,31.53,,,,unclassified,15,"LINESTRING (-118.2345000 34.0613625, -118.2345530 34.0613320, -118.2347023 34.0611376)",auto,1,0,,
North Beaudry Avenue,49,13381394,2,42,1,0.55,1,,,residential,6,"LINESTRING (-118.2475947 34.0661965, -118.2475904 34.0662000)",auto,1,0,,
North Beaudry Avenue,50,13381394,42,2,1,0.55,1,,,residential,6,"LINESTRING (-118.2475904 34.0662000, -118.2475947 34.0661965)",auto,1,0,,
Emerald Street,51,13382501,43,44,1,135.24,,,,residential,6,"LINESTRING (-118.2572631 34.0594893, -118.2582069 34.0593995, -118.2582834 34.0594035, -118.2583295 34.0594439, -118.2583726 34.0595397, -118.2584391 34.0596534, -118.2585000 34.0597163)",auto,1,0,,
Emerald Street,52,13382501,44,43,1,135.24,,,,residential,6,"LINESTRING (-118.2585000 34.0597163, -118.2584391 34.0596534, -118.2583726 34.0595397, -118.2583295 34.0594439, -118.2582834 34.0594035, -118.2582069 34.0593995, -118.2572631 34.0594893)",auto,1,0,,
Victor Street,53,13383859,45,46,1,64.88,1,,,residential,6,"LINESTRING (-118.2520213 34.0640580, -118.2519415 34.0641331, -118.2515566 34.0644971)",auto,1,0,,
Victor Street,54,13383859,46,45,1,64.88,1,,,residential,6,"LINESTRING (-118.2515566 34.0644971, -118.2519415 34.0641331, -118.2520213 34.0640580)",auto,1,0,,
Bruno Street,55,13397546,47,48,1,142.53,,,,unclassified,15,"LINESTRING (-118.2346243 34.0620690, -118.2352463 34.0623615, -118.2358013 34.0626072, -118.2359840 34.0626778)",auto,1,0,,
Bruno Street,56,13397546,48,47,1,142.53,,,,unclassified,15,"LINESTRING (-118.2359840 34.0626778, -118.2358013 34.0626072, -118.2352463 34.0623615, -118.2346243 34.0620690)",auto,1,0,,
Bartlett Street,57,13404147,49,50,1,102.0,1,,,residential,6,"LINESTRING (-118.2433679 34.0625915, -118.2444719 34.0625466)",auto,1,0,,
Bartlett Street,58,13404147,50,49,1,102.0,1,,,residential,6,"LINESTRING (-118.2444719 34.0625466, -118.2433679 34.0625915)",auto,1,0,,
Bartlett Street,59,13404147,50,51,1,162.15,1,,,residential,6,"LINESTRING (-118.2444719 34.0625466, -118.2458455 34.0634586)",auto,1,0,,
Bartlett Street,60,13404147,51,50,1,162.15,1,,,residential,6,"LINESTRING (-118.2458455 34.0634586, -118.2444719 34.0625466)",auto,1,0,,
Bauchet Street,61,13406071,52,53,1,209.86,,,,residential,6,"LINESTRING (-118.2368998 34.0589626, -118.2363092 34.0587957, -118.2360949 34.0587351, -118.2360177 34.0587351, -118.2359490 34.0587493, -118.2358889 34.0587778, -118.2358460 34.0588205, -118.2354622 34.0593201, -118.2352023 34.0596026)",auto,1,0,,
Bauchet Street,62,13406071,53,52,1,209.86,,,,residential,6,"LINESTRING (-118.2352023 34.0596026, -118.2354622 34.0593201, -118.2358460 34.0588205, -118.2358889 34.0587778, -118.2359490 34.0587493, -118.2360177 34.0587351, -118.2360949 34.0587351, -118.2363092 34.0587957, -118.2368998 34.0589626)",auto,1,0,,
